flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.delay,arrival.scheduled,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2021-03-29,active,,,Gaziantep,Europe/Istanbul,GZT,LTAJ,,,8.0,2021-03-29T14:55:00+00:00,2021-03-29T14:55:00+00:00,2021-03-29T15:03:00+00:00,2021-03-29T15:03:00+00:00,2021-03-29T15:03:00+00:00,Ataturk Airport,Europe/Istanbul,IST,LTFM,2,H,,,2021-03-29T16:40:00+00:00,2021-03-29T16:40:00+00:00,,,,Turkish Airlines,TK,THY,2223,TK2223,THY2223,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Gaziantep,Europe/Istanbul,GZT,LTAJ,,,8.0,2021-03-29T14:55:00+00:00,2021-03-29T14:55:00+00:00,2021-03-29T15:03:00+00:00,2021-03-29T15:03:00+00:00,2021-03-29T15:03:00+00:00,Ataturk Airport,Europe/Istanbul,IST,LTFM,2,H,,,2021-03-29T16:40:00+00:00,2021-03-29T16:40:00+00:00,,,,Air Serbia,JU,ASL,8201,JU8201,ASL8201,,turkish airlines,tk,thy,2223,tk2223,thy2223,,,,,,,,,,,,
2021-03-29,active,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,17,5.0,2021-03-29T17:30:00+00:00,2021-03-29T17:30:00+00:00,2021-03-29T17:34:00+00:00,2021-03-29T17:34:00+00:00,2021-03-29T17:34:00+00:00,Amausi,Asia/Kolkata,LKO,VILK,2,,,,2021-03-29T19:50:00+00:00,2021-03-29T19:50:00+00:00,,,,IndiGo,6E,IGO,451,6E451,IGO451,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,9,36.0,2021-03-29T17:15:00+00:00,2021-03-29T17:15:00+00:00,2021-03-29T17:51:00+00:00,2021-03-29T17:51:00+00:00,2021-03-29T17:51:00+00:00,Netaji Subhas Chandra,Asia/Kolkata,CCU,VECC,T1,,05,,2021-03-29T19:50:00+00:00,2021-03-29T19:50:00+00:00,,,,IndiGo,6E,IGO,714,6E714,IGO714,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,7,13.0,2021-03-29T17:05:00+00:00,2021-03-29T17:05:00+00:00,2021-03-29T17:17:00+00:00,2021-03-29T17:17:00+00:00,2021-03-29T17:17:00+00:00,Varanasi,Asia/Kolkata,VNS,VIBN,2,,,4.0,2021-03-29T19:20:00+00:00,2021-03-29T19:20:00+00:00,,,,IndiGo,6E,IGO,968,6E968,IGO968,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,21,12.0,2021-03-29T17:00:00+00:00,2021-03-29T17:00:00+00:00,2021-03-29T17:12:00+00:00,2021-03-29T17:12:00+00:00,2021-03-29T17:12:00+00:00,Bajpe,Asia/Kolkata,IXE,VOML,1,,,,2021-03-29T18:10:00+00:00,2021-03-29T18:10:00+00:00,,,,SpiceJet,SG,SEJ,3008,SG3008,SEJ3008,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,,,28.0,2021-03-29T17:00:00+00:00,2021-03-29T17:00:00+00:00,2021-03-29T17:27:00+00:00,2021-03-29T17:27:00+00:00,2021-03-29T17:27:00+00:00,Doha International,Asia/Qatar,DOH,OTHH,3,,,,2021-03-29T18:55:00+00:00,2021-03-29T18:55:00+00:00,,,,Qatar Airways,QR,QTR,8003,QR8003,QTR8003,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,4,10.0,2021-03-29T16:55:00+00:00,2021-03-29T16:55:00+00:00,2021-03-29T17:04:00+00:00,2021-03-29T17:04:00+00:00,2021-03-29T17:04:00+00:00,Lohegaon,Asia/Kolkata,PNQ,VAPO,1,,,,2021-03-29T18:20:00+00:00,2021-03-29T18:20:00+00:00,,,,IndiGo,6E,IGO,467,6E467,IGO467,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,1,11.0,2021-03-29T16:55:00+00:00,2021-03-29T16:55:00+00:00,2021-03-29T17:06:00+00:00,2021-03-29T17:06:00+00:00,2021-03-29T17:06:00+00:00,Vishakhapatnam,Asia/Kolkata,VTZ,VOVZ,,,,,2021-03-29T18:25:00+00:00,2021-03-29T18:25:00+00:00,,,,IndiGo,6E,IGO,152,6E152,IGO152,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,23,25.0,2021-03-29T16:45:00+00:00,2021-03-29T16:45:00+00:00,2021-03-29T17:10:00+00:00,2021-03-29T17:10:00+00:00,2021-03-29T17:10:00+00:00,Borjhar,Asia/Kolkata,GAU,VEGT,T3,,,7.0,2021-03-29T19:50:00+00:00,2021-03-29T19:50:00+00:00,,,,AirAsia India,I5,IAD,2469,I52469,IAD2469,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Bangalore International Airport,Asia/Kolkata,BLR,VOBL,1,5,34.0,2021-03-29T16:45:00+00:00,2021-03-29T16:45:00+00:00,2021-03-29T17:19:00+00:00,2021-03-29T17:19:00+00:00,2021-03-29T17:19:00+00:00,Civil,Asia/Kolkata,TRZ,VOTR,1,,,17.0,2021-03-29T18:05:00+00:00,2021-03-29T18:05:00+00:00,,,,IndiGo,6E,IGO,7246,6E7246,IGO7246,,,,,,,,VT-IYX,AT76,AT76,8013BB,2021-03-29T12:46:21+00:00,10.76,78.71,0.0,239.0,1.852,0.0,True
2021-03-29,active,,,Guglielmo Marconi,Europe/Rome,BLQ,LIPE,,9,22.0,2021-03-29T13:40:00+00:00,2021-03-29T13:40:00+00:00,2021-03-29T14:01:00+00:00,2021-03-29T14:01:00+00:00,2021-03-29T14:01:00+00:00,Fontanarossa,Europe/Rome,CTA,LICC,3,,,,2021-03-29T15:20:00+00:00,2021-03-29T15:20:00+00:00,,,,Wizz Air,W6,WZZ,8184,W68184,WZZ8184,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,53,13.0,2021-03-29T15:20:00+00:00,2021-03-29T15:20:00+00:00,2021-03-29T15:33:00+00:00,2021-03-29T15:33:00+00:00,2021-03-29T15:33:00+00:00,Diqing,Asia/Shanghai,DIG,ZPDQ,1,,,,2021-03-29T16:35:00+00:00,2021-03-29T16:35:00+00:00,,,,Sichuan Airlines,3U,CSC,5217,3U5217,CSC5217,,china eastern airlines,mu,ces,5935,mu5935,ces5935,,,,,,,,,,,,
2021-03-29,active,,,Kunming,Asia/Shanghai,KMG,ZPPP,,53,13.0,2021-03-29T15:20:00+00:00,2021-03-29T15:20:00+00:00,2021-03-29T15:33:00+00:00,2021-03-29T15:33:00+00:00,2021-03-29T15:33:00+00:00,Diqing,Asia/Shanghai,DIG,ZPDQ,1,,,,2021-03-29T16:35:00+00:00,2021-03-29T16:35:00+00:00,,,,China Eastern Airlines,MU,CES,5935,MU5935,CES5935,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Tamale,Africa/Accra,TML,DGLE,,,,2021-03-29T12:00:00+00:00,2021-03-29T12:00:00+00:00,2021-03-29T12:00:00+00:00,2021-03-29T12:00:00+00:00,2021-03-29T12:00:00+00:00,Kotoka,Africa/Accra,ACC,DGAA,2,,,,2021-03-29T13:00:00+00:00,2021-03-29T13:00:00+00:00,,,,Africa World Airlines,AW,AFW,169,AW169,AFW169,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Es Senia,Africa/Algiers,ORN,DAOO,,,,2021-03-29T10:20:00+00:00,2021-03-29T10:20:00+00:00,2021-03-29T10:14:00+00:00,2021-03-29T10:14:00+00:00,2021-03-29T10:14:00+00:00,Adrar,Africa/Algiers,AZR,DAUA,D,,,,2021-03-29T11:45:00+00:00,2021-03-29T11:45:00+00:00,,,,Air Algerie,AH,DAH,6384,AH6384,DAH6384,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Doha International,Asia/Qatar,DOH,OTHH,,,36.0,2021-03-29T10:25:00+00:00,2021-03-29T10:25:00+00:00,2021-03-29T11:00:00+00:00,2021-03-29T11:00:00+00:00,2021-03-29T11:00:00+00:00,Findel,Europe/Luxembourg,LUX,ELLX,A,,,5.0,2021-03-29T16:10:00+00:00,2021-03-29T16:10:00+00:00,,,,Qatar Airways,QR,QTR,8844,QR8844,QTR8844,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Doha International,Asia/Qatar,DOH,OTHH,,A3,23.0,2021-03-29T14:15:00+00:00,2021-03-29T14:15:00+00:00,2021-03-29T14:38:00+00:00,2021-03-29T14:38:00+00:00,2021-03-29T14:38:00+00:00,Ataturk Airport,Europe/Istanbul,IST,LTFM,I,,,,2021-03-29T18:45:00+00:00,2021-03-29T18:45:00+00:00,,,,Qatar Airways,QR,QTR,245,QR245,QTR245,,,,,,,,A7-BEN,B77W,B77W,06A2B2,2021-03-29T12:46:03+00:00,31.78,45.73,10972.8,319.0,851.92,0.0,False
2021-03-29,active,,,Sarasota/Bradenton International,America/New_York,SRQ,KSRQ,,,5.0,2021-03-29T07:45:00+00:00,2021-03-29T07:45:00+00:00,2021-03-29T07:50:00+00:00,2021-03-29T07:50:00+00:00,2021-03-29T07:50:00+00:00,Charlotte County,America/New_York,PGD,KPGD,,,,,2021-03-29T08:14:00+00:00,2021-03-29T08:14:00+00:00,,,,empty,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,active,,,Schiphol,Europe/Amsterdam,AMS,EHAM,2,B18,5.0,2021-03-29T14:45:00+00:00,2021-03-29T14:45:00+00:00,2021-03-29T14:50:00+00:00,2021-03-29T14:50:00+00:00,2021-03-29T14:50:00+00:00,Guglielmo Marconi,Europe/Rome,BLQ,LIPE,2,,,,2021-03-29T16:35:00+00:00,2021-03-29T16:35:00+00:00,,,,Xiamen Airlines,MF,CXA,9695,MF9695,CXA9695,,klm,kl,klm,1591,kl1591,klm1591,,,,,,,,,,,,
2021-03-29,active,,,Schiphol,Europe/Amsterdam,AMS,EHAM,2,B18,5.0,2021-03-29T14:45:00+00:00,2021-03-29T14:45:00+00:00,2021-03-29T14:50:00+00:00,2021-03-29T14:50:00+00:00,2021-03-29T14:50:00+00:00,Guglielmo Marconi,Europe/Rome,BLQ,LIPE,2,,,,2021-03-29T16:35:00+00:00,2021-03-29T16:35:00+00:00,,,,Kenya Airways,KQ,KQA,1591,KQ1591,KQA1591,,klm,kl,klm,1591,kl1591,klm1591,,,,,,,,,,,,
2021-03-29,active,,,Schiphol,Europe/Amsterdam,AMS,EHAM,2,B18,5.0,2021-03-29T14:45:00+00:00,2021-03-29T14:45:00+00:00,2021-03-29T14:50:00+00:00,2021-03-29T14:50:00+00:00,2021-03-29T14:50:00+00:00,Guglielmo Marconi,Europe/Rome,BLQ,LIPE,2,,,,2021-03-29T16:35:00+00:00,2021-03-29T16:35:00+00:00,,,,Gol,G3,GLO,5572,G35572,GLO5572,,klm,kl,klm,1591,kl1591,klm1591,,,,,,,,,,,,
